client_id,date_naissance,date_inscription,segment_client,region,departement
1,2004-10-28,2025-04-25,Standard,Provence-Alpes-Côte d'Azur,84
2,1974-10-05,1998-06-11,Premium,Nouvelle-Aquitaine,19
3,2002-10-12,2026-01-01,Standard,Île-de-France,94
4,1987-02-03,2008-05-06,Standard,Grand Est,08
5,1957-02-09,2000-09-12,Premium,Pays de la Loire,44
6,1970-11-20,2001-10-13,Pro,Île-de-France,78
7,1973-09-16,2016-10-13,Standard,Occitanie,31
8,1983-08-01,2012-06-02,Pro,Île-de-France,78
9,1981-06-19,2005-09-16,Premium,Occitanie,65
10,1984-03-24,2019-11-15,Premium,Hauts-de-France,60
11,1973-02-16,2011-11-30,Premium,Nouvelle-Aquitaine,19
12,1949-09-24,2015-11-11,Standard,Bourgogne-Franche-Comté,90
13,1974-06-24,1995-09-01,Standard,Auvergne-Rhône-Alpes,03
14,1966-01-22,2015-01-08,Pro,Occitanie,12
15,1993-02-28,2025-11-07,Pro,Île-de-France,95
16,1950-11-29,2015-10-30,Pro,Nouvelle-Aquitaine,33
17,1982-07-02,2013-08-21,Standard,Hauts-de-France,59
18,1957-06-04,1996-03-07,Standard,Bretagne,56
19,1964-12-22,2025-04-24,Premium,Nouvelle-Aquitaine,87
20,1945-10-23,1998-08-28,Pro,Auvergne-Rhône-Alpes,01
21,1946-04-23,1978-08-10,Standard,Provence-Alpes-Côte d'Azur,06
22,1997-10-04,2023-12-16,Pro,Provence-Alpes-Côte d'Azur,13
23,1983-12-27,2013-06-03,Premium,Île-de-France,94
24,1996-02-22,2024-04-22,Premium,Centre-Val de Loire,45
25,1954-04-19,2006-11-10,Standard,Île-de-France,94
26,1945-10-30,1966-08-15,Premium,Grand Est,67
27,1965-03-15,2006-04-24,Standard,Provence-Alpes-Côte d'Azur,06
28,1980-02-14,2024-10-23,Premium,Nouvelle-Aquitaine,33
29,1992-11-21,2023-10-06,Standard,Auvergne-Rhône-Alpes,38
30,1994-06-26,2014-09-05,Pro,Nouvelle-Aquitaine,87
31,1946-07-10,2019-01-22,Standard,Île-de-France,93
32,1987-12-23,2010-12-21,Pro,Hauts-de-France,62
33,1947-03-26,2008-04-19,Premium,Hauts-de-France,59
34,2003-06-23,2021-07-24,Standard,Île-de-France,75
35,1990-06-03,2026-03-07,Standard,Provence-Alpes-Côte d'Azur,13
36,1991-12-23,2020-04-12,Standard,Auvergne-Rhône-Alpes,42
37,1958-10-08,2023-11-25,Pro,Auvergne-Rhône-Alpes,01
38,1978-04-05,2005-02-27,Standard,Île-de-France,95
39,1951-12-24,2017-08-29,Standard,Nouvelle-Aquitaine,86
40,1989-02-13,2008-11-10,Pro,Île-de-France,94
41,1992-04-05,2019-10-02,Pro,Pays de la Loire,85
42,1958-07-22,2025-03-13,Pro,Île-de-France,77
43,1982-10-06,2005-02-22,Premium,Pays de la Loire,85
44,2006-11-10,2025-07-01,Pro,Hauts-de-France,59
45,1994-01-16,2016-02-01,Standard,Île-de-France,78
46,1949-03-01,1985-02-24,Standard,Provence-Alpes-Côte d'Azur,13
47,1982-03-06,2009-07-16,Standard,Provence-Alpes-Côte d'Azur,84
48,1961-08-21,2019-12-23,Pro,Auvergne-Rhône-Alpes,42
49,1947-06-15,1970-04-04,Standard,Auvergne-Rhône-Alpes,01
50,1998-12-04,2023-08-10,Pro,Hauts-de-France,02
51,1992-05-17,2020-05-07,Premium,Normandie,27
52,2003-08-31,2024-07-31,Pro,Hauts-de-France,80
53,1973-05-31,2013-08-28,Pro,Grand Est,67
54,1976-06-13,2022-10-27,Standard,Grand Est,54
55,1975-07-01,2010-05-18,Premium,Nouvelle-Aquitaine,33
56,1946-12-16,2006-05-14,Premium,Pays de la Loire,44
57,1989-09-06,2019-06-17,Standard,Île-de-France,92
58,2004-09-26,2026-01-04,Pro,Île-de-France,91
59,2000-03-16,2019-04-03,Standard,Nouvelle-Aquitaine,19
60,1982-03-06,2017-06-25,Premium,Provence-Alpes-Côte d'Azur,84
61,1993-07-12,2020-04-13,Standard,Provence-Alpes-Côte d'Azur,06
62,1987-11-05,2015-03-20,Standard,Normandie,27
63,1991-01-08,2024-03-18,Pro,Pays de la Loire,49
64,1991-12-18,2024-11-10,Standard,Auvergne-Rhône-Alpes,03
65,1974-04-01,2002-06-06,Pro,Normandie,61
66,1951-09-08,1990-05-09,Standard,Provence-Alpes-Côte d'Azur,83
67,1981-03-16,2006-03-07,Standard,Normandie,76
68,1976-06-11,2021-05-18,Standard,Île-de-France,75
69,1951-07-11,1987-10-10,Premium,Nouvelle-Aquitaine,16
70,1981-09-06,2006-10-30,Premium,Nouvelle-Aquitaine,16
71,1961-07-01,1986-12-04,Standard,Hauts-de-France,62
72,2001-09-30,2022-03-18,Pro,Auvergne-Rhône-Alpes,69
73,1945-09-29,2020-03-16,Standard,Provence-Alpes-Côte d'Azur,83
74,1949-07-21,1998-05-28,Standard,Pays de la Loire,53
75,1979-03-17,2017-09-24,Pro,Île-de-France,78
76,1978-10-25,2006-03-24,Pro,Auvergne-Rhône-Alpes,74
77,1987-06-01,2012-11-14,Standard,Normandie,61
78,1983-10-31,2005-09-06,Pro,Hauts-de-France,60
79,1972-06-20,2024-08-13,Pro,Auvergne-Rhône-Alpes,69
80,2007-09-30,2025-11-20,Premium,Île-de-France,92
81,1964-05-13,2024-08-30,Standard,Bourgogne-Franche-Comté,89
82,1999-04-30,2025-02-10,Standard,Provence-Alpes-Côte d'Azur,04
83,1994-09-12,2017-06-10,Standard,Occitanie,81
84,1947-07-14,2011-05-29,Pro,Pays de la Loire,44
85,1976-09-12,1998-09-15,Premium,Pays de la Loire,44
86,1983-12-11,2022-12-28,Standard,Hauts-de-France,62
87,1959-04-16,1978-04-16,Standard,Hauts-de-France,59
88,1954-12-08,2013-03-18,Pro,Centre-Val de Loire,28
89,1980-04-21,2025-02-08,Standard,Normandie,76
90,1952-05-12,2004-10-07,Pro,Grand Est,54
91,1960-12-02,1988-04-07,Standard,Pays de la Loire,72
92,1983-05-17,2024-07-24,Pro,Normandie,50
93,1976-04-03,1999-12-19,Standard,Bretagne,35
94,1998-04-04,2022-04-13,Pro,Bretagne,56
95,2002-12-05,2021-05-07,Standard,Provence-Alpes-Côte d'Azur,06
96,2003-07-01,2026-03-28,Pro,Île-de-France,91
97,1968-11-18,2012-07-04,Premium,Auvergne-Rhône-Alpes,63
98,2001-01-18,2019-08-24,Pro,Île-de-France,94
99,1963-11-05,2020-12-22,Standard,Île-de-France,92
100,1961-11-06,1987-10-13,Premium,Auvergne-Rhône-Alpes,69
101,1958-03-05,1988-12-04,Pro,Île-de-France,92
102,1984-04-02,2016-01-24,Standard,Nouvelle-Aquitaine,64
103,1981-10-14,2024-04-15,Standard,Hauts-de-France,59
104,1946-12-15,1996-08-03,Premium,Auvergne-Rhône-Alpes,42
105,1974-11-20,1999-04-06,Standard,Île-de-France,95
106,2001-09-15,2021-06-20,Premium,Grand Est,57
107,1960-06-15,2009-02-18,Pro,Île-de-France,77
108,1996-08-05,2020-09-15,Pro,Grand Est,67
109,2006-12-16,2025-07-12,Standard,Bourgogne-Franche-Comté,71
110,1975-01-16,1995-07-17,Pro,Nouvelle-Aquitaine,33
111,1983-07-04,2002-05-19,Premium,Provence-Alpes-Côte d'Azur,83
112,1949-12-17,2011-08-11,Premium,Île-de-France,75
113,1948-10-14,1987-05-16,Pro,Pays de la Loire,72
114,1951-08-02,1971-07-12,Pro,Île-de-France,91
115,1971-01-21,1990-11-09,Pro,Île-de-France,91
116,1991-09-28,2016-06-17,Premium,Nouvelle-Aquitaine,47
117,2001-12-24,2021-05-02,Pro,Provence-Alpes-Côte d'Azur,13
118,1952-06-25,1988-09-12,Premium,Pays de la Loire,53
119,1953-06-30,2007-07-12,Premium,Île-de-France,92
120,2000-04-14,2018-11-03,Standard,Nouvelle-Aquitaine,87
121,1993-08-05,2014-03-12,Pro,Provence-Alpes-Côte d'Azur,13
122,1977-01-06,2001-12-06,Pro,Hauts-de-France,80
123,1963-07-15,2001-12-25,Premium,Centre-Val de Loire,45
124,1956-02-16,1998-03-20,Premium,Île-de-France,75
125,1984-03-26,2008-08-21,Premium,Île-de-France,93
126,1971-01-01,2023-05-11,Premium,Provence-Alpes-Côte d'Azur,83
127,1989-03-23,2021-11-13,Premium,Pays de la Loire,44
128,2000-08-20,2020-10-24,Standard,Grand Est,67
129,1957-05-26,1982-03-19,Pro,Grand Est,68
130,1966-05-26,2004-01-28,Standard,Île-de-France,93
131,2003-07-22,2024-10-25,Pro,Centre-Val de Loire,37
132,1974-12-21,2018-07-23,Standard,Bretagne,29
133,1960-01-19,2016-12-18,Standard,Pays de la Loire,49
134,1996-05-30,2024-08-17,Standard,Bretagne,22
135,1950-12-22,2004-03-10,Pro,Hauts-de-France,62
136,1975-09-26,2010-03-18,Premium,Normandie,27
137,1990-03-27,2018-11-05,Pro,Normandie,14
138,1950-12-18,2008-06-04,Standard,Bourgogne-Franche-Comté,89
139,1993-05-17,2021-08-30,Pro,Nouvelle-Aquitaine,33
140,1951-12-11,2002-05-09,Standard,Provence-Alpes-Côte d'Azur,13
141,1972-09-01,1999-06-24,Premium,Bretagne,56
142,2006-06-29,2025-11-09,Pro,Hauts-de-France,02
143,1994-02-19,2019-07-24,Pro,Occitanie,66
144,1994-08-16,2025-08-31,Standard,Île-de-France,75
