contact_id,sinistre_id,client_id,date_contact,canal,motif_contact,temps_attente_sec,nb_transferts,duree_traitement_min,resolution_premier_contact,escalade,satisfaction_score,nb_contacts_precedents
1,202501662,2847,2026-03-18,mail,demande_avancement,573,3,4,oui,non,3,4
2,202500906,2511,2025-07-15,telephone,demande_avancement,529,2,7,non,oui,1,4
3,202500290,4387,2026-03-16,visite,declaration_sinistre,345,0,7,oui,non,4,3
4,202501238,4384,2026-01-13,telephone,demande_avancement,696,2,7,oui,non,2,4
5,202501779,2443,2026-01-14,visite,expertise,839,0,7,non,non,2,3
6,202501878,3651,2025-11-23,telephone,contestation_indemnisation,540,1,8,oui,non,3,1
7,202601301,3661,2026-04-07,mail,declaration_sinistre,420,3,6,oui,non,3,3
8,202600815,4382,2026-04-11,telephone,demande_avancement,641,3,9,oui,non,2,0
9,202501604,1447,2026-01-13,telephone,piece_manquante,55,2,10,non,oui,2,3
10,202500587,4214,2026-03-18,telephone,expertise,596,0,7,non,oui,2,5
11,202502000,1827,2025-11-17,telephone,relance_dossier,530,1,7,oui,non,4,1
12,202500124,3564,2026-01-05,telephone,contestation_indemnisation,178,0,2,non,non,3,5
13,202500952,3169,2026-01-09,telephone,demande_avancement,256,2,7,non,oui,2,0
14,202500241,1770,2025-07-12,telephone,demande_avancement,341,3,6,oui,non,3,4
15,202500753,3661,2026-02-04,visite,relance_dossier,848,2,2,non,oui,1,4
16,202601145,3129,2026-04-15,mail,declaration_sinistre,501,3,15,non,oui,1,2
17,202501417,1544,2026-03-01,telephone,contestation_indemnisation,143,2,6,oui,oui,2,4
18,202500232,179,2026-03-30,mail,declaration_sinistre,396,1,6,oui,non,4,1
19,202501676,4796,2026-02-17,telephone,demande_avancement,462,1,7,non,non,3,2
20,202500313,2089,2025-12-15,visite,relance_dossier,879,2,3,oui,non,2,2
21,202001495,4203,2021-02-02,telephone,demande_avancement,178,0,6,oui,non,5,4
22,202501777,4906,2026-03-29,telephone,declaration_sinistre,50,2,20,oui,non,4,0
23,202500594,2668,2026-03-07,telephone,declaration_sinistre,528,2,9,non,oui,1,0
24,202500865,1671,2025-12-01,visite,relance_dossier,529,0,7,oui,non,4,2
25,202501208,4838,2026-03-18,mail,reclamation_delai,226,2,8,non,oui,1,2
