sinistre_id,client_id,date_ouverture,type_sinistre,statut_dossier,montant_estime,date_derniere_action
202100001,3878,2021-04-17,habitation,clos,9453.07,2023-01-09
202300002,2173,2023-07-14,auto,clos,5588.21,2023-09-27
202300003,3831,2023-02-24,habitation,clos,107.25,2025-10-07
202400004,1356,2024-09-26,auto,clos,4722.13,2024-10-14
201500005,4081,2015-03-03,habitation,clos,14812.9,2022-09-23
202000006,822,2020-04-08,habitation,clos,1000.72,2025-06-29
202500007,3007,2025-06-02,habitation,en cours,1795.38,2026-04-01
202500008,4947,2025-11-23,habitation,ouvert,1624.39,2026-02-08
202400009,4262,2024-03-21,auto,clos,11569.26,2025-04-26
202600010,1565,2026-04-08,auto,en cours,6369.57,2026-04-16
202400011,2799,2024-10-21,auto,clos,803.1,2025-08-29
202400012,2984,2024-03-06,habitation,clos,1216.53,2025-05-18
201500013,2759,2015-04-30,habitation,clos,5192.63,2020-02-27
202500014,300,2025-09-29,habitation,en cours,8129.84,2025-12-25
202100015,662,2021-04-30,auto,clos,4292.01,2025-07-13
202600016,3879,2026-01-07,habitation,ouvert,5118.16,2026-03-07
202500017,4539,2025-08-16,habitation,en cours,8914.83,2025-10-16
202100018,1293,2021-11-05,auto,clos,14027.47,2024-05-27
202600019,4793,2026-04-19,habitation,en cours,9811.16,2026-04-19
202100020,538,2021-09-18,habitation,clos,2096.81,2023-10-26
201800021,3072,2018-04-23,habitation,clos,9508.62,2019-03-13
201700022,4059,2017-06-06,auto,clos,14651.63,2018-01-16
201800023,3966,2018-07-09,auto,clos,6108.19,2026-03-02
202500024,4022,2025-09-04,habitation,ouvert,10835.43,2026-02-07
201800025,491,2018-05-25,habitation,clos,1582.43,2023-11-14
201900026,3756,2019-07-08,habitation,clos,6919.88,2024-04-05
202100027,893,2021-03-11,auto,clos,8511.94,2021-06-12
202300028,4495,2023-04-07,auto,clos,11068.36,2025-02-09
202400029,1908,2024-11-29,auto,clos,2838.32,2025-10-18
202200030,4101,2022-08-27,auto,clos,12046.29,2025-01-08
202300031,1369,2023-04-27,habitation,clos,2322.8,2024-03-31
202400032,2868,2024-04-19,auto,clos,7502.44,2024-12-20
202400033,311,2024-10-24,auto,clos,368.03,2025-04-09
